Sıra,Model Name,H,Wtwo,Pone,Ptwo,P,Dxdxg1,W,L,Lone,htwo,Wone,Hone,Mxg2,Mone,T,None,Ntwo,Ntheree,E,Sone,Stwo,Stheree,Sfour,C,Czero,Mrzero,Mpzero,Myzero,Block(g),Rail(g/m),Category
1,HRC 15 MN,28.0,9.5,26.0,26.0,60.0,"7,5x4,5x5,3",34.0,55.5,40.3,24.7,15.0,15.0,M4x7,0,6.0,"M3x6,5
h2",M3x6,P3,3.5,8.5,11.5,9.8,10.9,9.9,17.5,140,105,105.0,200.0,1290.0,
2,HRC 20 MN,30.0,12.0,36.0,32.0,60.0,"9,5x6x8,5",44.0,69,52,25,20.0,20.0,"M5x8,5",0,8.0,"M3x7,5","T
M3x5,5",P4,10,6,9.4,11,11.7,17.1,30.0,325,230,230.0,318.0,2280.0,
3,HRC 25 MN,40.0,12.5,35.0,35.0,60.0,11x7x9,48.0,81.2,62.2,34,23.0,23.0,M6x9,0,12.0,"M6x7,5","M3x6,5",P4,12,12,16.3,16.6,17.6,24.8,42.5,540,385,385.0,578.0,3020.0,
4,HRC 30 MN,45.0,16.0,40.0,40.0,80.0,14x9x12,60.0,95.5,71.5,38.4,28.0,27.0,M8x12,0,12.0,"M6x8,5","M6x5
S1",P5,12,10.5,15,20.8,20.5,32.8,53.7,845,565,565.0,896.0,4380.0,
5,HRC 35 MN,55.0,18.0,50.0,50.0,80.0,14x9x12,70.0,111.2,86.2,47.4,34.0,32.0,M8x13,0,14.0,M6x10,M6x7,P5,12,15,22,23.4,24.1,45.9,82.9,1700,1080,1080.0,1430.0,6790.0,
6,HRC 45 MN,70.0,20.5,60.0,60.0,105.0,20x14x17,86.0,135.5,102.5,60.7,45.0,39.0,M10x20,0,14.0,"PT1/8x12,5","M6x10,5",P5,14,21.1,28.1,27.3,27.3,71.3,122.1,3200,1910,1910.0,2794.0,10530.0,
7,HRC 55 MN,80.0,23.5,75.0,75.0,120.0,24x16x18,100.0,155.6,118.6,68,53.0,46.0,M12x24,0,16.0,"PT1/8x14,5","M6x12,5",P5,14,22,29.5,28.5,29.5,103.4,173.1,5030,3120,3120.0,4780.0,14060.0,
8,HRC 15 ML,28.0,9.5,26.0,26.0,60.0,"7,5x4,5x5,3",34.0,76.2,61,24.7,15.0,15.1,M4x7,0,6.0,"M3x6,5",M3x6,P3,3.5,8.5,11.5,20.1,21.2,13.4,26.9,215,235,235.1,300.0,1290.0,
9,HRC 20 ML,30.0,12.0,50.0,32.0,60.0,"9,5x6x8,5",44.0,87.2,70.2,25.0,20.0,20.0,"M5x8,5",0,8.0,"M3x7,5","M3x5,5",P4,10.0,6.0,9.4,13.1,13.8,20.4,38.5,415.0,390.0,390.0,400.0,2280.0,
10,HRC 25 ML,40.0,12.5,50.0,35.0,60.0,11x7x9,48.0,105.0,86.0,34.0,23.0,23.0,M6x9,0,12.0,"M6x7,5","M3x6,5",P4,12.0,12.0,16.3,21.0,22.0,30.7,57.7,735.0,710.0,710.0,685.0,3020.0,
